@title, Zurich
في الشهر الأخير، كيف تصف
الألم الذي شعرت به بشكل متوسط، بما في ذلك الألم في ظهرك وأردافك والألم الذي ينتشر إلى الساقين؟,1- لا شيء,2- خفيف,3- متوسط,4- شديد,5- شديد جدًا
مدى تكرار شعورك بألم الظهر أو الأرداف أو الساق؟,1- أقل من مرة في الأسبوع,2- مرة على الأقل في الأسبوع,3- كل يوم، لبضع دقائق على الأقل,4- كل يوم، معظم اليوم,5- كل دقيقة من اليوم
الألم في ظهرك أو أردافك؟,1- لا شيء,2- خفيف,3- متوسط,4- شديد,5- شديد جدًا
الألم في ساقيك أو قدميك؟,1- لا شيء,2- خفيف,3- متوسط,4- شديد,5- شديد جدًا
الخدر أو الوخز في ساقيك أو قدميك؟,1- لا شيء,2- خفيف,3- متوسط,4- شديد,5- شديد جدًا
الضعف في ساقيك أو قدميك؟,1- لا شيء,2- خفيف,3- متوسط,4- شديد,5- شديد جدًا
مشاكل في توازنك؟,1- لا، لم أواجه مشاكل في التوازن,3- نعم، أحيانًا أشعر أن توازني مختل أو أنني لست متأكدًا من ثباتي,5- نعم، غالبًا ما أشعر أن توازني مختل أو أنني لست متأكدًا من ثباتي,,
في الشهر الأخير، في يوم نموذجي:,,,,,
كم كنت قادرًا على المشي؟,1- أكثر من ميلين,2- أكثر من بلوكين، ولكن أقل من ميلين,3- أكثر من 50 قدمًا، ولكن أقل من بلوكين,4- أقل من 50 قدمًا,
هل قمت بالمشي في الخارج أو في المراكز التجارية للمتعة؟,1- نعم، براحة,2- نعم، ولكن أحيانًا مع ألم,3- نعم، ولكن دائمًا مع ألم,4- لا,
هل قمت بالتسوق لشراء البقالة أو غيرها من الأشياء؟,1- نعم، براحة,2- نعم، ولكن أحيانًا مع ألم,3- نعم، ولكن دائمًا مع ألم,4- لا,
هل قمت بالمشي حول الغرف المختلفة في منزلك أو شقتك؟,1- نعم، براحة,2- نعم، ولكن أحيانًا مع ألم,3- نعم، ولكن دائمًا مع ألم,4- لا,
هل قمت بالمشي من غرفة نومك إلى الحمام؟,1- نعم، براحة,2- نعم، ولكن أحيانًا مع ألم,3- نعم، ولكن دائمًا مع ألم,4- لا,
كيف تشعر حيال:,,,,,
النتيجة العامة لعملية الظهر؟,1- راضٍ جدًا,2- راضٍ إلى حد ما,3- غير راضٍ إلى حد ما,4- غير راضٍ جدًا,
تخفيف الألم بعد العملية؟,1- راضٍ جدًا,2- راضٍ إلى حد ما,3- غير راضٍ إلى حد ما,4- غير راضٍ جدًا,
قدرتك على المشي بعد العملية,1- راضٍ جدًا,2- راضٍ إلى حد ما,3- غير راضٍ إلى حد ما,4- غير راضٍ جدًا,
قدرتك على القيام بأعمال المنزل، العمل في الحديقة، أو العمل بعد العملية؟,1- راضٍ جدًا,2- راضٍ إلى حد ما,3- غير راضٍ إلى حد ما,4- غير راضٍ جدًا,
قوتك في الفخذين، الساقين، والقدمين؟,1- راضٍ جدًا,2- راضٍ إلى حد ما,3- غير راضٍ إلى حد ما,4- غير راضٍ جدًا,
توازنك أو ثباتك على قدميك؟,1- راضٍ جدًا,2- راضٍ إلى حد ما,3- غير راضٍ إلى حد ما,4- غير راضٍ جدًا,
